"","starting_date","ending_date","Tank.ID","TTE","A","B","C","D"
"86",NA,NA,"C14",54,"0","","",""
"87",NA,NA,"C14",54,"0","","",""
"88",NA,NA,"C14",54,"0","","",""
"89",NA,NA,"C14",54,"0","","",""
"90",NA,NA,"C14",54,"0","","",""
"91",NA,NA,"C14",54,"0","","",""
"92",NA,NA,"C14",54,"0","","",""
"93",NA,NA,"C14",54,"0","","",""
"94",NA,NA,"C14",54,"0","","",""
"95",NA,NA,"C14",54,"0","","",""
"96",NA,NA,"C14",54,"0","","",""
"97",NA,NA,"C14",54,"0","","",""
"98",NA,NA,"C14",54,"0","","",""
"99",NA,NA,"C14",54,"0","","",""
"100",NA,NA,"C14",54,"0","","",""
"101",NA,NA,"C2",26,"1","","",""
"102",NA,NA,"C2",27,"1","","",""
"103",NA,NA,"C2",27,"1","","",""
"104",NA,NA,"C2",30,"1","","",""
"105",NA,NA,"C2",30,"1","","",""
"106",NA,NA,"C2",31,"1","","",""
"107",NA,NA,"C2",31,"1","","",""
"108",NA,NA,"C2",32,"1","","",""
"109",NA,NA,"C2",32,"1","","",""
"110",NA,NA,"C2",32,"1","","",""
"111",NA,NA,"C2",32,"1","","",""
"112",NA,NA,"C2",32,"1","","",""
"113",NA,NA,"C2",32,"1","","",""
"114",NA,NA,"C2",33,"1","","",""
"115",NA,NA,"C2",33,"1","","",""
"116",NA,NA,"C2",33,"1","","",""
"117",NA,NA,"C2",33,"1","","",""
"118",NA,NA,"C2",34,"1","","",""
"119",NA,NA,"C2",34,"1","","",""
"120",NA,NA,"C2",34,"1","","",""
"121",NA,NA,"C2",35,"1","","",""
"122",NA,NA,"C2",35,"1","","",""
"123",NA,NA,"C2",35,"1","","",""
"124",NA,NA,"C2",35,"1","","",""
"125",NA,NA,"C2",35,"1","","",""
"126",NA,NA,"C2",36,"1","","",""
"127",NA,NA,"C2",36,"1","","",""
"128",NA,NA,"C2",36,"1","","",""
"129",NA,NA,"C2",36,"1","","",""
"130",NA,NA,"C2",36,"1","","",""
"131",NA,NA,"C2",37,"1","","",""
"132",NA,NA,"C2",37,"1","","",""
